Egg Bomb,,,10,Scene x2,6,"5, Blast 2",--,Tough - Steady Performance,Physical,Normal,,,,,,,,,,
Encore,,,--,Scene x2,2,"4, 1 Target, Social","Roll 1d6. On a result of 1 or 2, the target becomes Confused; on a result of 3 or 4 the target becomes Suppressed; on a result of 5 or 6 the target becomes Enraged.",Cute -  Good Show!,Status,Normal,,,,,,,,,,
Endeavor,,,See Effect,Scene,2,"Melee, 1 Target, Dash",The target loses a Tick of Hit Points for each Injury the user has.,Tough - Double TIme,Physical,Normal,,o,,,,,,,,
Endure,,,--,Daily,--,"Self, Reaction, Trigger","If the user is hit by a damaging Move, you may use Endure as a Free Action. If the Move would bring Endure's user down to 0 HP or less, Endure's user instead is set to 1 HP.",Tough - Sabotage,Status,Normal,,,,,,,,,,
Entrainment,,,--,Scene,2,"4, 1 Target",The target gains one of the user's Abilities for 3 turns.,Cute -  Catching Up,Status,Normal,,,,,,,,,,
Explosion,,,25,Daily,2,Burst 2,The user's HP is set to -50% of their full HP. This HP loss cannot be prevented or reduced in any way. The user's loyalty toward its trainer may be lowered.,Beauty - Big Show,Physical,Normal,,,,,,,,,,
Extreme Speed,,,8,EOT,2,"Melee, 1 Target, Dash, Priority",--,Cool - Saving Grace,Physical,Normal,,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Facade,,,7,EOT,2,"Melee, 1 Target","If the user is afflicted with a Persistent Status Affliction, Facade's Damage Base is doubled to DB 14 (4d10+15 / 40).",Cute - Double Time,Physical,Normal,,o,,,,,,,,
Façade,,,7,EOT,2,"Melee, 1 Target","If the user is afflicted with a Persistent Status Affliction, Façade’s Damage Base is doubled to DB 14 (4d10+15 / 40).",Cute - Double Time,Physical,Normal,,o,,,,,,,,
Fake Out,,,4,At-Will,2,"Melee, 1 Target, Priority","You may only use Fake Out with Priority upon joining an encounter; if you do, Fake Out Flinches the target. Switching out resets the requirement of joining an encounter.",Cute - Exhausting Act,Physical,Normal,,o,o,,,,,,,
False Swipe,,,4,At-Will,2,"Melee, Pass",False Swipe's damage cannot bring a target lower than 1 HP.,Cool - Inversed Appeal,Physical,Normal,,o,o,,,,,,,
Feint,,,--,Scene,--,Trigger,"If a foe uses a Move with the Shield Keyword in response to one of your actions, you may activate Feint to cause the triggering Move to Fail. Feint is activated as a Free Action.",Beauty - Inversed Appeal,Status,Normal,,,,,,,,,,
Flail,,,7,EOT,2,"Melee, 1 Target","For each Injury the user has, Flail's Damage Base is increased by +1.",Cute - Double Time,Physical,Normal,,o,,,,,,,,
Flash,,,--,EOT,2,Cone 2,Lower the Accuracy of all legal targets by -1. *Grants Glow,Beauty -  Unsettling,Status,Normal,,,,,,,,,,
Focus Energy,,,--,At-Will,--,Self,"The user becomes Pumped. While Pumped, the user's Critical Range is extended by 2, or 18+ if the Critical Range is not otherwise extended. Being switched will cause this effect to end.",Cool - Get Ready!,Status,Normal,,,,,,,,,,
Follow Me,,,--,Scene,--,"Burst 5, Social","Until the end of the user's next turn, all Foes must target the user when using a Move that targets their opponents. This effect ends if the user is Fainted or Switched out.",Cute - Tease,Status,Normal,,,,,,,,,,
Foresight,,,--,Scene x2,--,"Self, Swift Action","Foresight may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",Smart -  Good Show!,Status,Normal,,,,,,,,,,
Frustration,,,"X, See Effect",At-Will,2,"Melee, 1 Target",Frustration's Damage Base is equal to 9 minus the user's Loyalty Value. Using Frustration may make your Pokémon dislike you.,Cute - Desperation,Physical,Normal,,o,,,,,,,,
Fury Attack,,,2,At-Will,4,"Melee, 1 Target, Five Strike",--,Cool - Reliable,Physical,Normal,,o,o,,,,,,,
Fury Swipes,,,3,EOT,5,"Melee, 1 Target, Five Strike",--,Tough - Reliable,Physical,Normal,,o,o,,,,,,,
Giga Impact,,,15,Daily x2,4,"Melee, 1 Target, Dash, Exhaust, Smite",--,Beauty - Seen Nothing Yet,Physical,Normal,,o,,,,,,,,o
Glare,,,--,Scene x2,2,"4, 1 Target, Social",Glare Paralyzes the target.,Tough - Excitement,Status,Normal,,,,,,,,,,
Growl,,,--,At-Will,2,"Burst 1, Friendly, Sonic, Social",Lower the Attack of all legal targets by -1 CS.,Cute - Excitement,Status,Normal,,,,,,,,o,,
Growth,,,--,EOT,--,Self,"Raise the user's Attack and Special Attack by +1 CS each. If it is Sunny, double the amount of Combat Stages gained. *Grants Inflatable",Beauty - Get Ready!,Status,Normal,,,,,,,,,,
Guillotine,,,--,Daily,--,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",Cool - Big Show,Status,Normal,,o,,,,,,,,
Harden,,,--,At-Will,--,Self,Raise the user’s Defense by +1 CS.,Tough - Sabotage,Status,Normal,,,,,,,,,,
Headbutt,,,7,EOT,2,"Melee, 1 Target",Headbutt Flinches the target on 15+.,Tough - Steady Performance,Physical,Normal,o,o,,,,,,,,
Head Charge,,,12,Scene x2,2,"Melee, 1 Target, Push, Recoil 1/3",The target is Pushed back 2 meters.,Tough - Steady Performance,Physical,Normal,,o,,o,,,,,,o
Heal Bell,,,--,Scene,--,"Burst 3, Sonic, Healing",All targets are cured of any Persistent Status ailments.,Beauty - Reflective Appeal,Status,Normal,,,,,,,,o,,
Helping Hand,,,--,EOT,--,"4, 1 Target, Priority","Helping Hand grants the target +2 on its next Accuracy Roll this round, and +10 to its next Damage Roll this round.",Smart -  Good Show!,Status,Normal,,,,,,,,,,
Hidden Power,,,6,EOT,2,Burst 1,"When a Pokémon first obtains the Move Hidden Power, roll 1d20. Hidden Power’s Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fairy on 5; Fighting on 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10; Ground on 11; Ice on 12; Normal on 13; Poison on 14; Psychic on 15; Rock on 16; Steel on 17; Water on 18; and on 19 or 20, reroll until you roll another number. This effect is permanent – if Hidden Power is forgotten and relearned, the chosen Type remains the same.",Smart -  Catching Up,Special,Normal,,,o,,,,,,,
Hold Hands,,,--,Scene x2,--,"Melee, 1 Target","Both the user and the target become Cheered. They may give up the Cheered condition when making a Save Check to roll twice and take the best result.
September Playtest: The target and the user each gain three Ticks of Temporary Hit Points, and a +2 Bonus to Save Checks for 1 full round.",Cute - Get Ready!,Status,Normal,,o,,,,,,,,
Horn Attack,,,7,At-Will,2,"Melee, 1 Target, Dash",--,Cool - Steady Performance,Physical,Normal,,o,,,,,,,,
Horn Drill,,,--,Daily,--,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",Cool - Big Show,Status,Normal,,o,,,,,,,,
Howl,,,--,At-Will,--,Self,Raise the user’s Attack by +1 CS.,Cool - Get Ready!,Status,Normal,,,,,,,,,,
Howl [SS],,,--,EOT,--,Burst 1,The user and all allies in the Burst have their Attack CS raised by 1. ,Cool - Get Ready!,Status,Normal,,,,,,,,,,
Hyper Beam,,,15,Daily x2,4,"10, 1 Target, Exhaust, Smite",--,Cool - Seen Nothing Yet,Special,Normal,,,,,,,,,,o
Hyper Fang,,,8,At-Will,4,"Melee, 1 Target",Hyper Fang Flinches the target on 19+.,Cool - Desperation,Physical,Normal,o,o,,,,,,,o,
Hyper Voice,,,9,Scene x2,2,"Close Blast 3, Sonic, Smite","All legal targets are pushed back to the squares immediately outside the blast, away from the user.",Cool - Steady Performance,Special,Normal,,,,,,,,o,,
Judgement,,,10,Daily,2,"6, Ranged Blast 3, Smite",Judgment's Type can be whatever Elemental Type the user wants it to be.,Smart - Tease,Special,Normal,,,,,,,,,,
Laser Focus,,,--,Scene x2,--,Self,The next succesful damaging attack made by the user is automatically a Critical Hit.,--,Status,Normal,,,,,,,,,,
Last Resort,,,14,At-Will,2,"Melee, 1 Target, Dash","Last Resort can only be used after the user has performed 5 other different Moves in its Move List during a single fight, without being switched out.",Cute - Safe Option,Physical,Normal,,o,,,,,,,,
Leer,,,--,At-Will,2,"Cone 2, Friendly, Social",All legal targets have their Defense lowered by -1 CS.,Cool - Excitement,Status,Normal,,,,,,,,,,
Lock-On,,,--,At-Will,--,"10, 1 Target","The target is Locked-On. The next Move that the user uses against the Target that requires an Accuracy Check cannot miss. Lock-On's effect, on both the User and Target, can be passed by Baton Pass.",Smart -  Good Show!,Status,Normal,,,,,,,,,,
Lovely Kiss,,,--,Scene x2,6,"6, 1 Target, Social",The target fall Asleep.,Beauty - Excitement,Status,Normal,,,,,,,,,,
Lucky Chant,,,--,Scene,--,Blessing,Any user affected by Lucky Chant may activate it when receiving a Critical Hit to cause the attack to instead deal damage as if it was not a Critical Hit. Lucky Chant may be activated 3 times and then disappears.,Cute - Sabotage,Status,Normal,,,,,,,,,,
Me First,,,--,Scene,--,"Self, Trigger, Interrupt","If an opponent declares a Damaging Attack against the user, and Me First’s user has a higher Speed stat then the target, the user may use Me First as an Interrupt. The User will then use the same Move the triggering foe was about to use on that foe.",Cute - Saving Grace,Status,Normal,,,,,,,,,,
Mean Look,,,--,Scene,--,"6, 1 Target, Social",The Target becomes Trapped and Slowed for the remainder of the encounter.,Beauty - Unsettling,Status,Normal,,,,,,,,,,
Mega Kick,,,12,Scene x2,6,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 2 meters.,Cool - Desperation,Physical,Normal,,o,,,,,,,,
Mega Punch,,,8,At-Will,4,"Melee, 1 Target",--,Tough - Desperation,Physical,Normal,,o,,,o,,,,,
Metronome,,,--,Scene x2,--,Self,"Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Crafty Shield, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, King’s Shield, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash, Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Spiky Shield, Switcheroo, Thief, Transform, Trick, and Wide Guard. The GM helps to pick the random Move.",Cute - Tease,Status,Normal,,,,,,,,,,
Milk Drink,,,--,Daily x2,--,"Melee, 1 Target",The target regains HP equal to half of its full HP. The user may target themselves with Milk Drink.,Cute - Reflective Appeal,Status,Normal,,o,,,,,,,,
Mimic,,,--,Scene,--,"6, 1 Target","Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user’s Move List. Mimic cannot miss.",Cute - Attention Grabber,Status,Normal,,,,,,,,,,
Mind Reader,,,--,Scene,--,"6, 1 Target","The target becomes Read to the user until the end of the user’s next turn. The user may end this effect when making an Attack on the user, causing that attack to automatically hit; OR when the Read target uses an Attack against the user, causing that attack to automatically miss. If the user has the Telepathy Capability, the user automatically succeeds on a mindreading attempt against the target, and may listen to the target’s surface thoughts as long as they remain Read. Mind Reader automatically misses against targets with the Mindlock Capability.",Smart -  Good Show!,Status,Normal,,,,,,,,,,
Minimize,,,--,Scene,--,Self,"The user gains +4 Evasion, and the user's size is lowered to Small for the remainder of the encounter. *Grants Shrinkable",Cute - Sabotage,Status,Normal,,,,,,,,,,
Morning Sun,,,--,Daily x2,--,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",Beauty - Reflective Appeal,Status,Normal,,,,,,,,,,
Multi-Attack,,,9,EOT,2,"Melee, 1 Target","Multi-Attack’s Type is determined by the Memory Disc, Plate, or Drive Item held.",--,Physical,Normal,,o,,,,,,,,
Multi-Attack [SS],,,12,Scene x2,2,"Melee, 1 Target","Multi-Attack’s Type is determined by the Memory Disc, Plate, or Drive Item held.",--,Physical,Normal,,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Natural Gift,,,See Effect,Scene,2,"6, 1 Target, Berry",Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift’s Type is also defined there. The Berry’s Digestion/Food Buff is nullified and is not used.,Cool - Desperation,Special,Normal,,,,,,,,,,
Nature Power,,,See Effect,EOT,See Effect,See Effect,Nature Power uses a Move defined by the Environ keyword.,Beauty - Tease,Status,Normal,,,,,,,,,,
Noble Roar,,,--,EOT,2,"Burst 1, Sonic, Friendly, Social",Noble Roar lowers all legal targets’ Attack and Special Attack by +1 CS.,Cool - Excitement,Status,Normal,,,,,,,,o,,
Odor Sleuth,,,--,Scene x2,--,"Self, Swift Action","Odor Sleuth may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",Smart -  Good Show!,Status,Normal,,,,,,,,,,
Pain Split,,,--,Daily x2,--,"4, 1 Target","The user and the target both lose 1/2 of their current Hit Points. Add the amount of Hit Points the user and the target lost together, and divide the value by 2. Both the target and the user gain Hit Points equal to this value. Do not add Injuries from Pain Split from Hit Point Markers until the full effect of the Move has been resolved. Pain Split never causes Massive Damage. Hit Point loss from Pain Split cannot be prevented in any way.",Smart - Unsettling,Status,Normal,,,,,,,,,,
Pay Day,,,4,Daily,2,Cone 2,"Pay Day scatters metal coins equal in value to 1d8 times the user's level. If it is a trainer battle, the winner of the battle gets to pick up the coins.",Smart -  Catching Up,Physical,Normal,,,o,,,,,,,
Perish Song,,,--,Daily,--,"Burst 15, Sonic","Perish Song cannot miss. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the target’s turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon’s Hit Points to 0. A Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Song never causes Massive Damage.",Beauty - Unsettling,Status,Normal,,,,,,,,o,,
Play Nice,,,--,At-Will,2,"6, 1 Target, Social",Play Nice lowers the target’s Attack by -1 CS.,Cute - Excitement,Status,Normal,,,,,,,,,,
Pound,,,4,At-Will,2,"Melee, 1 Target",--,Tough - Steady Performance,Physical,Normal,,o,o,,,,,,,
Power Shift,,,--,Scene,--,Self,"The user’s Attack stat and Defense stat are switched and the user’s Special Attack stat and Special Defense stat are switched. These changes last for the remainder of the scene, or until the user is switched out or Fainted.",Cool - Inversed Appeal,Status,Normal,,,,,,,,,,
Present,,,"X, See Effect",EOT,3,"4, 1 Target","Roll 1d6; Present has a DB equal to twice the result. On a result of 1, instead of taking damage the target gains 20 HP.",Cute - Inversed Appeal,Physical,Normal,,,,,,,,,,
Protect,,,--,Scene,--,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Protect. The user is instead not hit by the Move. The user does not take any damage nor is affected by any of the Move's effects.",Cute - Inversed Appeal,Status,Normal,,,,,,,,,,
Psych Up,,,--,Scene,--,"6, 1 Target",The user's Combat Stages are changed to match the target's Combat Stages. Psych Up cannot miss.,Smart - Get Ready!,Status,Normal,,,,,,,,,,
Quick Attack,,,4,At-Will,2,"Melee, 1 Target, Priority",--,Cool - Saving Grace,Physical,Normal,,o,o,,,,,,,
Rage,,,2,At-Will,2,"Melee, 1 Target, Spirit Surge","The user becomes Enraged. Until the end of the user’s next turn, if the user is Enraged, the user gains +1 Attack Combat Stage whenever they are damaged by an Damaging Move or Attack.",Cool - Get Ready!,Physical,Normal,,o,o,,,,,,,
Rapid Spin,,,2,At-Will,2,"Melee, 1 Target, Spirit Surge","Rapid Spin destroys all Hazards within 5 meters, removes Leech Seeds, and removes the user's Trapped or Stuck status.",Cool - Exhausting Act,Physical,Normal,,o,o,,,,,,,
Rapid Spin [SS],,,5,At-Will,2,"Melee, 1 Target, Spirit Surge","Rapid Spin destroys all Hazards within 5 meters, removes Leech Seeds, and removes the user’s Trapped or Stuck status. If Rapid Spin hits, the user’s speed raises 1 CS.",Cool - Exhausting Act,Physical,Normal,,o,o,,,,,,,
Razor Wind,,,8,EOT,2,"10, 3 Targets, Set -Up","Set-Up Effect: The user may not shift this round. The user whips up a whirlwind around themselves, granting +2 Evasion until the end of their next turn and destroying any Smokescreen or Hazards on any squares it is standing on and in all squares adjacent to it. Resolution Effect: The user attacks with Razor Wind. Razor Wind is a Critical Hit on 18+.",Cool -  Special Attention,Special,Normal,,,,,,,,,,
Recover,,,--,Daily x2,--,"Self, Healing",The user regains HP equal to half of its full HP.,Smart - Reflective Appeal,Status,Normal,,,,,,,,,,
Recycle,,,--,Scene,--,Self,The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone.,Smart - Attention Grabber,Status,Normal,,,,,,,,,,
Reflect Type,,,--,Scene,2,"Melee, 1 Target",Reflect Type changes one of the user’s Types into one Type of your choice that the target has for the rest of the scene.,Beauty - Attention Grabber,Status,Normal,,o,,,,,,,,
Refresh,,,--,Scene x2,--,Self,"The user is cured of all Poison, Burns, and Paralysis.",Cute - Reflective Appeal,Status,Normal,,,,,,,,,,
Relic Song,,,8,Scene,2,"Burst 3, Friendly, Sonic","All legal targets fall Asleep on 16+. As long as Meloetta knows Relic Song, it may change between Aria Form and Step Form as a Swift Action when using Relic Song or as a Standard Action otherwise. Both Aria and Step Form must be statted with the same HP Stat.",Beauty - Excitement,Special,Normal,o,,,,,,,o,,
Retaliate,,,7,Scene x2,2,"Melee, 1 Target",Retaliate's DB is doubled to DB 14 (4d10+15 / 40) if an ally has been Fainted by a Damaging Move used by the Target in the last 2 rounds of Combat.,Cool - Steady Performance,Physical,Normal,,o,,,,,,,,
Return,,,"X, See Effect",At-Will,2,"Melee, 1 Target",Return's DB is equal to 3 plus the user's Loyalty Value.,Cute -  Exhausting Act,Physical,Normal,,o,,,,,,,,
Revelation Dance,,,9,EOT,2,"6, 1 Target","Revelation Dance is the same Type as the user’s primary Type (aka the first one in its Pokedex listing). Revelation Dance deals +5 Bonus Damage for every other Dance Move used by the user this round, to a maximum of +15.",--,Special,Normal,,,,,,,,,,
Roar,,,--,Scene,2,"Burst 1, Sonic, Social","When declaring Roar, the user does nothing. At the end of the round, the user Shifts and uses Roar. Targets hit by Roar immediately Shift away from the user using their highest useable movement capability, towards their Trainer if possible. If the target is an owned Pokémon and ends this shift within 6 meters of their Poké Ball, they are immediately recalled to their Poké Ball. If that Trainer sends out a replacement, they do not lose their Command action.",Cool - Excitement,Status,Normal,,,,,,,,o,,
Rock Climb,,,8,At-Will,5,"Melee, 1 Target, Dash",Rock Climb Confuses the target on 17+.,Cool - Desperation,Physical,Normal,o,o,,,,,,,,
Round,,,"X, See Effect",EOT,2,"Burst 1, Sonic","Round's Damage Base is equal to 6, plus +2 more for each use of Round by any Trainer or Pokémon this round, up to a maximum of DB 12 (3d12+10 / 30).",Tough - Reliable,Special,Normal,,,,,,,,o,,
Safeguard,,,--,Scene,--,Blessing,"Blessing – Any user affected by Safeguard may activate it when receiving a Status Affliction to ignore the effects of that Status Affliction on their next turn. Safeguard may be activated 3 times, and then disappears.",Beauty - Sabotage,Status,Normal,,,,,,,,,,
Scary Face,,,--,EOT,2,"4, 1 Target, Social",Lower the target’s Speed by -2 CS.,Tough - Desperation,Status,Normal,,,,,,,,,,
Scratch,,,4,At-Will,2,"Melee, Pass",--,Tough - Steady Performance,Physical,Normal,,o,o,,,,,,,
Screech,,,--,EOT,4,"Burst 2, Friendly, Sonic",Lower the Defense of all legal targets by -2 CS.,Smart - Unsettling,Status,Normal,,,,,,,,o,,
Secret Power,,,7,At-Will,2,"4, 1 Target, Environ",Secret Power's effect depends on Environ. Secret Power's effect activates on 17+.,Smart - Tease,Special,Normal,o,,,,,,,,,
Self-Destruct,,,20,Daily,2,Burst 3,The user's HP is set to -50% of its full HP. This HP loss may not be prevented or reduced in any way. The user's loyalty may be lowered.,Beauty - Big Show,Physical,Normal,,,,,,,,,,
Sharpen,,,--,At-Will,--,Self,Raise the user’s Attack by +1 CS.,Cute - Get Ready!,Status,Normal,,,,,,,,,,
Shell Smash,,,--,Scene,--,Self,"Raise the user's Attack, Special Attack, and Speed by +2 CS each. Lower the user's Defense and Special Defense by -1 CS each.",Tough - Get Ready!,Status,Normal,,,,,,,,,,
Simple Beam,,,--,Scene,2,"6, 1 Target",You choose one of the target's Abilities. Simple Beam changes that Ability to Simple for the remainder of the encounter.,Beauty - Steady Performance,Status,Normal,,,,,,,,,,
Sing,,,--,Scene,10,"Burst 2, Friendly, Sonic","All legal Targets fall Asleep. On a miss, Sing instead causes targets to become Slowed and suffer a -2 penalty to their Evasion until the end of the user's next turn.",Cute - Excitement,Status,Normal,,,,,,,,o,,
Sketch,,,--,Daily,--,"15, 1 Target","Sketch cannot miss. Once Sketch has been used, remove Sketch from the user's Move list. The last Move that the target used is added to the user's Move list permanently. Sketch may not be Interrupted or Intercepted.",Smart -  Catching Up,Status,Normal,,,,,,,,,,
Skull Bash,,,13,Scene x2,2,"Melee, 1 Target, Dash, Push, Set-Up",Set-Up Effect: Raise the user's Defense by +1 CS. Resolution Effect: The user may attack with Skull Bash. The target is pushed 3 meters.,Tough -  Special Attention,Physical,Normal,,o,,,,,,,,
Slack Off,,,--,Daily x2,--,"Self, Healing",The user regains HP equal to half of its full HP.,Cute - Reflective Appeal,Status,Normal,,,,,,,,,,
Slam,,,8,At-Will,6,"Melee, 1 Target, Dash","Slam may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Slam gains the Smite keyword.",Tough - Steady Performance,Physical,Normal,,o,,,,,,,,
Slash,,,7,EOT,2,"Melee, Pass",Slash is a Critical Hit on 18+.,Cool - Steady Performance,Physical,Normal,,o,,,,,,,,
Sleep Talk,,,--,Scene,--,Self,"Select another of the user’s Moves at random; this turn, the user may Shift and use that Move despite being Asleep. Sleep Talk can be only be used by Sleeping targets.",Cute - Steady Performance,Status,Normal,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Smelling Salts,,,7,Scene x2,2,"Melee, 1 Target","If the target is Paralyzed, Smelling Salt’s Damage Base is doubled to 14 (4d10+15 / 40), and cures the target of Paralysis.",Smart - Unsettling,Physical,Normal,,o,,,,,,,,
Smokescreen,,,--,EOT,--,"5, Ranged Blast 3","Smokescreen creates a blast of Smoke that covers the target area; the Smoke persists until the end of the encounter, or until Defog or Whirlwind are used. All targets attacking from or into the Smoke receive a -3 penalty to Accuracy.",Smart - Unsettling,Status,Normal,,,,,,,,,,
Snore,,,5,EOT,2,"Burst 1, Sonic",Snore Flinches all legal targets on 15+. Snore may only be used by Sleeping users.,Cute - Steady Performance,Special,Normal,o,,o,,,,,o,,
Soft-Boiled,,,--,Daily x2,--,"Melee, 1 Target",The target regains Hit Points equal to half of its full Hit Points. The user may target themselves with Soft-Boiled.,Beauty - Reflective Appeal,Status,Normal,,o,,,,,,,,
Sonic Boom,,,15 Damage,EOT,6,"8, 1 Target","Sonicboom causes the target to lose 15 HP. Sonicboom is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.)",Cool - Steady Performance,Special,Normal,,,,,,,,,,
Spike Cannon,,,3,EOT,4,"6, 1 Target, Five Strike",--,Cool - Reliable,Physical,Normal,,,o,,,,,,,
Spit Up,,,"X, See Effect",Scene,2,"4, 1 Target","For each Stockpiled Count the user has, Spit Up’s Damage Base is increased by +8. If the user has no Stockpiled count, Spit Up cannot be used.",Tough - Desperation,Special,Normal,,,,,,,,,,
Splash,,,--,At-Will,--,Self,"Shift Action - The user may make a single Jump, adding +1 to their Long Jump and High Jump values, and gains +2 Evasion until the end of their next turn. *Grants +1 Long Jump",Cute - Inversed Appeal,Status,Normal,,,,,,,,,,
Spotlight,,,--,Daily,--,"6, 1 Target, Priority","Until the end of the user’s next turn, the target is Blinded and Vulnerable.",--,Status,Normal,,,,,,,,,,
Stockpile,,,--,EOT,--,Self,"The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the user’s Defense and Special Defense by +1 CS each. If a Stockpiled count is set to 0, any Combat Stages gained from the Stockpiled count are removed.",Tough - Get Ready!,Status,Normal,,,,,,,,,,
Stomp,,,7,EOT,2,"Melee, 1 Target","Stomp Flinches the target on 15+. If the target is at least one size category smaller than the user, Stomp deals an additional 10 damage.",Tough - Steady Performance,Physical,Normal,o,o,,,,,,,,
Strength,,,8,EOT,2,"Melee, 1 Target, Push","You may immediately initiate a Push Maneuver as a Free Action. The Maneuver automatically hits, but you must still make the Opposed Roll. *Grants +1 Power",Tough - Steady Performance,Physical,Normal,,o,,,,,,,,
Stuff Cheeks,,,--,Scene,--,Self,"The user immediately consumes one of its Food Buffs, regardless of any conditions that need to be met, gaining its benefit if applicable. If a Buff is consumed, the user’s Defense CS is raised by 2. ",Cute - Get Ready!,Status,Normal,,,,,,,,,,
Substitute,,,--,Scene,--,"Self, Illusion, Coat","The user loses 1/4 of their maximum Hit Points. This Hit Point loss cannot be prevented in any way. The user creates an Illusory Substitute Coat, which has Hit Points equal to 1/4th of the user’s full Hit Points +1. If the user would be hit by a Move or attack, instead the Substitute gets hit. Apply weakness, resistance and stats to the Substitute. The Substitute is immune to Status Afflictions and Status Moves. Moves with the Social or Sonic keywords completely ignore and bypass the Substitute. Once the Substitute has been destroyed, the user may be hit as normal. Substitute cannot be used if the user has less than 1/4 of their full Hit Points.",Smart -  Catching Up,Status,Normal,,,,,,,,,,
Super Fang,,,See Effect,Scene,4,"Melee, 1 Target", The target loses 1/2 of its current HP.,Tough - Steady Performance,Physical,Normal,,o,,,,,,,,
Supersonic,,,--,Scene x2,6,"4, 1 Target, Sonic","The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round.",Smart - Excitement,Status,Normal,,,,,,,,o,,
Swagger,,,--,EOT,4,"6, 1 Target, Social",Raise the target's Attack by +2 CS. The target is Confused.,Cute - Excitement,Status,Normal,,,,,,,,,,
Swagger [SM],,,--,EOT,5,"6, 1 Target, Social",Raise the target's Attack by +2 CS. The target is Confused.,Cute - Excitement,Status,Normal,,,,,,,,,,
Swallow,,,--,Daily x2,--,Self,"If the user’s Stockpiled count is 1, they are healed 25% of their full Hit Point value; if their Stockpiled count is 2, they are healed half of their full Hit Point value; if their Stockpiled count is 3, they are healed back to full Hit Points. After using Swallow, the user’s Stockpiled count is set to 0. If the user has no Stockpiled count, Swallow does nothing.",Tough - Reflective Appeal,Status,Normal,,,,,,,,,,
Sweet Scent,,,--,Scene,2,"Burst 2, Friendly",Targets hit by Sweet Scent gain a -2 Penalty to Evasion. (Total Evasion may not be lowered to a negative value.) *Grants Alluring,Cute - Excitement,Status,Normal,,,,,,,,,,
Swift,,,6,EOT,--,"8, Ranged Blast 2, Friendly",Swift cannot Miss.,Cool - Exhausting Act,Special,Normal,,,o,,,,,,,
Swords Dance,,,--,EOT,--,Self,Raise the user's Attack by +2 CS.,Beauty - Get Ready!,Status,Normal,,,,,,,,,,
Tackle,,,5,At-Will,2,"Melee, 1 Target, Dash, Push",The target is Pushed 2 Meters.,Tough - Steady Performance,Physical,Normal,,o,o,,,,,,,
Tackle [SM],,,4,At-Will,2,"Melee, 1 Target, Dash, Push",The target is Pushed 2 Meters.,Tough - Steady Performance,Physical,Normal,,o,o,,,,,,,
Tail Slap,,,3,EOT,4,"Melee, 1 Target, Five Strike",--,Cute - Reliable,Physical,Normal,,o,o,,,,,,,
Tail Whip,,,--,At-Will,2,"Burst 1, Friendly",All legal targets have their Defense lowered by -1 CS.,Cute - Excitement,Status,Normal,,,,,,,,,,
